city,country,state,suburb,lat,long,date,name,city_ascii,iso2,iso3,capital,population,worldcities_id,data_source,PRCP,SNWD,TAVG,TMAX,TMIN
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-01,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.96,22.5,
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-02,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,16.08,21.67,10.43
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-03,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,16.26,21.75,10.67
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-04,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.84,22.67,10.0
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-05,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.38,23.67,
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-06,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.32,,8.57
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-07,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.52,,8.65
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-08,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.54,22.75,8.67
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-09,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,14.56,22.5,8.5
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-10,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,14.16,22.8,7.8
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-11,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,14.42,24.77,8.0
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-12,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,14.14,22.0,7.0
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-13,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,14.8,24.0,7.9
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-14,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.32,23.47,8.67
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-15,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,14.98,23.25,9.8
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-16,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.38,,9.33
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-17,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,14.94,22.55,8.87
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-18,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.26,23.67,9.33
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-19,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,14.96,22.0,8.0
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-20,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.2,22.5,9.53
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-21,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.3,22.8,10.33
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-22,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.62,22.0,10.97
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-23,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.7,21.5,8.67
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-24,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.78,,9.5
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-25,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.6,23.0,10.0
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-26,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.58,19.0,10.5
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-27,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.18,21.1,
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-28,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.62,,8.0
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-29,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.06,,6.0
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-30,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.34,21.8,
Abhā,Saudi Arabia,‘Asīr,,18.297,42.804,2020-01-31,KING KHALED AB,Abha,SA,SAU,admin,236157.0,1682759151,worldcities_small,,,15.08,21.95,10.0
