city,country,state,suburb,lat,long,date,name,city_ascii,iso2,iso3,capital,population,worldcities_id,data_source,DAPR,MDPR,PRCP,SNOW
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-08-14,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,3.6,
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-08-20,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,6.0,64.0,,
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-08-21,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-08-27,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,6.0,30.0,,
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-08-28,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-09-03,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,1.0,
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-09-04,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.3,
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-09-05,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-09-06,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-09-07,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-09-08,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-09-09,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-09-10,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-09-11,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-09-17,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,6.0,46.0,,
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-09-18,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-09-25,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,7.0,23.0,,
