city,country,state,suburb,lat,long,date,name,city_ascii,iso2,iso3,capital,population,worldcities_id,data_source,PRCP,SNWD,TMAX,TMIN
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-09,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,10.84,32.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-10,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.06,28.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-11,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.52,20.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-12,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.54,10.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-13,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.12,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-14,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.12,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-15,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.6,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-16,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,5.86,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-17,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.68,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-18,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.28,15.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-19,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.28,12.5,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-20,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,6.16,62.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-21,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,4.6,76.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-22,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,4.54,66.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-23,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.36,64.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-24,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.3,44.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-25,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.24,60.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-26,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.32,60.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-27,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.7,52.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-28,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.84,52.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-29,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.3,25.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-01,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.56,44.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-02,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.54,36.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-03,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.46,56.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-04,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,5.6,64.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-05,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,4.64,50.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-06,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,4.68,88.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-07,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.9,112.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-08,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.28,120.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-09,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.8,114.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-10,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.9,96.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-11,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.4,90.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-12,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.9,78.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-13,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,4.36,62.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-14,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.42,70.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-15,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.34,60.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-16,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.68,36.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-17,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.96,36.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-18,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.38,36.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-19,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.34,34.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-20,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.68,36.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-21,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.38,36.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-22,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.0,40.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-23,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.0,36.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-24,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.8,32.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-25,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.6,30.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-26,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.2,26.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-27,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.66,42.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-28,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.36,42.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-29,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.32,36.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-30,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.48,34.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-03-31,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.66,34.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-01,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.0,32.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-02,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.3,28.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-03,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.54,26.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-04,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.18,20.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-05,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,5.22,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-06,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.54,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-07,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.68,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-08,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.16,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-09,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.06,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-10,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.08,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-11,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.82,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-12,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.92,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-13,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.32,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-14,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.22,0.0,,
